Hour,Occupancy(%),Working_Day,Holiday,Reading_Week,Study_Week,Exam_Week
8,78,0,1,0,0,0
9,78,0,1,0,0,0
10,78,0,1,0,0,0
11,78,0,1,0,0,0
12,77,0,1,0,0,0
13,77,0,1,0,0,0
14,77,0,1,0,0,0
15,74,0,1,0,0,0
16,68,0,1,0,0,0
17,60,0,1,0,0,0
18,53,0,1,0,0,0
19,19,0,1,0,0,0
20,3,0,1,0,0,0
21,3,0,1,0,0,0
22,3,0,1,0,0,0
23,3,0,1,0,0,0
0,3,0,0,1,0,0
1,3,0,0,1,0,0
2,3,0,0,1,0,0
3,3,0,0,1,0,0
4,3,0,0,1,0,0
5,3,0,0,1,0,0
6,32,0,0,1,0,0
7,70,0,0,1,0,0
8,91,0,0,1,0,0
9,96,0,0,1,0,0
10,100,0,0,1,0,0
11,100,0,0,1,0,0
12,100,0,0,1,0,0
13,100,0,0,1,0,0
14,99,0,0,1,0,0
15,98,0,0,1,0,0
16,91,0,0,1,0,0
17,70,0,0,1,0,0
18,62,0,0,1,0,0
19,58,0,0,1,0,0
20,53,0,0,1,0,0
21,4,0,0,1,0,0
22,4,0,0,1,0,0
23,4,0,0,1,0,0
